condition,neuron,population,rate_hz,tp_pre,fp_pre,tp_post,fp_post,predicted_out
mauve,43,E2,2.1411,3,4,18,6,7
mauve,44,E2,2.1667,18,19,10,11,37
mauve,45,E2,2.16,20,4,12,5,24
mauve,46,E2,2.1667,22,16,10,14,38
mauve,47,E2,2.1522,5,5,10,9,10
mauve,48,E2,2.1556,3,1,13,7,4
mauve,49,E2,2.1556,3,4,11,4,7
mauve,50,E2,2.1633,29,5,19,5,34
mauve,51,E2,2.1611,12,5,13,9,17
mauve,52,E2,2.1656,24,10,12,14,34
mauve,53,E2,2.1633,6,3,15,6,9
mauve,54,E2,2.1644,30,39,11,15,69
mauve,55,E2,2.1644,18,6,12,9,24
mauve,56,E2,2.1633,15,0,12,9,15
mauve,57,E2,2.1644,22,7,17,12,29
mauve,58,E2,2.1556,9,3,11,10,12
mauve,59,E2,2.1633,3,4,14,5,7
mauve,60,E2,2.1544,12,2,13,9,14
mauve,61,E2,2.1478,2,3,14,5,5
mauve,62,E2,2.1656,10,4,8,11,14
mauve,63,E2,2.1667,25,8,12,11,33
mauve,64,E2,2.0822,1,11,9,8,12
mauve,65,I2,7.7578,2,5,2,9,7
mauve,66,I2,7.1422,1,13,1,13,14
mauve,67,I2,7.3711,1,12,2,7,13
mauve,68,I2,6.9389,1,20,3,5,21
mauve,69,I2,7.2656,1,12,2,9,13
mauve,70,I2,6.74,1,6,2,11,7
mauve,71,I2,7.4945,0,15,2,8,15
mauve,72,I2,8.1833,0,6,5,11,6
mauve,73,I2,7.2911,0,4,6,7,4
mauve,74,I2,7.6111,1,6,5,10,7
mauve,75,I2,6.9278,2,13,3,8,15
mauve,76,I2,7.7256,1,15,3,5,16
mauve,77,I2,7.84,0,6,6,5,6
mauve,78,I2,7.4711,0,8,1,10,8
mauve,79,I2,6.8667,2,8,3,11,10
mauve,80,I2,7.4656,1,11,6,9,12
mauve,81,I2,7.2378,3,8,3,11,11
mauve,82,I2,7.2711,1,14,1,13,15
mauve,83,I2,6.4322,0,15,4,9,15
mauve,84,I2,7.8567,1,4,4,8,5
mauve,85,I2,7.4478,2,14,1,11,16
mauve,86,I2,6.9911,2,9,4,12,11
mauve,87,I2,7.8011,2,14,6,11,16
mauve,88,I2,6.7422,3,15,0,11,18
mauve,89,I2,6.9689,2,8,1,8,10
mauve,90,I2,7.2356,1,8,4,8,9
mauve,91,I2,8.1078,1,9,3,4,10
mauve,92,I2,7.02,1,20,0,8,21
mauve,93,I2,6.7589,1,15,3,15,16
mauve,94,I2,8.0,1,9,2,10,10
mauve,95,I2,7.1411,0,12,0,13,12
mauve,96,I2,7.8178,0,11,6,5,11
mauve,97,E5,2.1633,32,16,16,15,48
mauve,98,E5,2.1533,4,3,11,6,7
mauve,99,E5,2.1656,26,14,13,9,40
mauve,100,E5,2.1622,16,3,12,9,19
mauve,101,E5,2.1644,15,9,15,11,24
mauve,102,E5,2.1667,29,11,15,12,40
mauve,103,E5,2.1422,5,6,12,9,11
mauve,104,E5,2.1644,11,6,16,10,17
